Day_of_Week,Time_of_Booking,Days_Before_Travel,Train_Popularity,Season,Travel_Class,Num_Passengers,Booking_Type,Waiting_List_Position,Ticket_Confirmed
Mon,Morning,56,Low,Holiday,3AC,5,Normal,45,0
Sat,Night,90,Low,Normal,Sleeper,1,Tatkal,92,0
Sun,Night,88,High,Normal,2AC,3,Normal,7,1
Wed,Night,85,Low,Normal,3AC,1,Tatkal,31,0
Wed,Night,10,High,Normal,3AC,1,Normal,23,0
Tue,Morning,69,Medium,Holiday,3AC,5,Normal,13,1
Tue,Night,66,Medium,Festival,2AC,3,Normal,9,1
Mon,Evening,29,High,Festival,1AC,3,Normal,44,0
Sun,Night,91,Medium,Holiday,1AC,3,Normal,100,1
Sat,Night,104,High,Holiday,2AC,4,Normal,47,1
Sun,Afternoon,80,High,Normal,2AC,5,Tatkal,58,1
Wed,Afternoon,22,Medium,Normal,2AC,4,Normal,99,1
Mon,Morning,50,Medium,Normal,1AC,4,Normal,52,0
Thu,Morning,97,Low,Festival,1AC,5,Tatkal,8,1
Mon,Evening,84,High,Normal,2AC,4,Normal,60,0
Fri,Night,4,Medium,Festival,1AC,2,Tatkal,13,0
Mon,Afternoon,49,Medium,Holiday,1AC,4,Normal,10,1
Sun,Evening,43,Medium,Holiday,2AC,4,Tatkal,89,1
Fri,Evening,119,Low,Holiday,3AC,5,Tatkal,61,0
Fri,Morning,14,Medium,Holiday,Sleeper,1,Normal,48,0
Fri,Afternoon,109,Medium,Holiday,1AC,1,Normal,95,1
Thu,Night,1,High,Festival,2AC,4,Tatkal,83,0
Mon,Morning,23,Medium,Normal,Sleeper,2,Normal,70,0
Sun,Evening,53,Low,Holiday,2AC,5,Normal,88,1
Mon,Evening,9,High,Holiday,3AC,5,Normal,4,1
Thu,Afternoon,83,Medium,Holiday,Sleeper,4,Tatkal,74,0
Wed,Afternoon,34,High,Festival,1AC,4,Normal,35,0
Tue,Night,40,Low,Festival,2AC,2,Tatkal,0,1
Sun,Afternoon,46,Low,Holiday,Sleeper,4,Tatkal,82,1
Sun,Afternoon,117,Low,Holiday,2AC,2,Tatkal,28,1
Mon,Morning,84,Medium,Holiday,Sleeper,3,Normal,69,0
Tue,Morning,29,Medium,Normal,1AC,3,Tatkal,42,1
Sat,Night,92,Low,Festival,Sleeper,3,Normal,18,1
Sat,Morning,98,Low,Normal,3AC,1,Tatkal,58,1
Thu,Night,114,Medium,Normal,1AC,1,Normal,27,1
Sat,Morning,37,Medium,Normal,3AC,5,Normal,62,0
Sun,Evening,25,Low,Normal,Sleeper,4,Normal,93,1
Sat,Morning,19,Low,Normal,Sleeper,5,Tatkal,49,0
Wed,Night,35,High,Normal,3AC,3,Normal,0,1
Wed,Morning,63,High,Festival,2AC,3,Tatkal,40,0
Wed,Afternoon,42,Medium,Festival,Sleeper,2,Normal,17,0
Sat,Evening,39,Low,Holiday,2AC,4,Tatkal,46,1
Thu,Morning,17,Medium,Holiday,Sleeper,3,Tatkal,3,0
Fri,Evening,21,High,Festival,2AC,1,Normal,56,0
Fri,Evening,76,Medium,Normal,1AC,2,Tatkal,3,1
Tue,Evening,78,Medium,Festival,3AC,1,Normal,12,1
Fri,Evening,15,Medium,Normal,1AC,2,Normal,24,0
Fri,Afternoon,88,Medium,Normal,3AC,5,Tatkal,7,1
Wed,Afternoon,2,Low,Festival,2AC,5,Tatkal,90,0
Wed,Night,68,Low,Holiday,1AC,2,Normal,18,1
Sat,Night,26,Medium,Festival,3AC,2,Tatkal,8,0
Tue,Night,102,High,Festival,2AC,1,Tatkal,7,1
Mon,Night,96,Low,Festival,1AC,5,Tatkal,12,0
Sun,Evening,39,Medium,Holiday,Sleeper,1,Tatkal,81,0
Tue,Evening,101,Low,Holiday,3AC,1,Normal,90,1
Tue,Evening,3,Medium,Normal,3AC,3,Normal,34,0
Thu,Afternoon,42,Low,Festival,3AC,3,Tatkal,91,1
Sat,Afternoon,101,Low,Festival,Sleeper,4,Tatkal,8,1
Thu,Evening,113,Medium,Normal,3AC,5,Normal,47,1
Tue,Evening,51,Low,Normal,Sleeper,5,Normal,22,0
Tue,Evening,119,Low,Normal,Sleeper,4,Normal,78,1
Tue,Evening,51,Medium,Holiday,1AC,4,Normal,79,1
Fri,Afternoon,116,Medium,Holiday,2AC,1,Normal,64,1
Sun,Morning,65,Medium,Festival,Sleeper,2,Tatkal,12,1
Sun,Night,61,Medium,Holiday,Sleeper,3,Normal,8,1
Thu,Night,82,High,Festival,Sleeper,3,Normal,62,0
Tue,Morning,62,Low,Normal,Sleeper,1,Tatkal,7,1
Sun,Afternoon,50,Medium,Normal,2AC,4,Tatkal,56,1
Wed,Afternoon,63,Medium,Normal,Sleeper,1,Normal,40,1
Sun,Morning,81,High,Normal,1AC,5,Tatkal,21,0
Sat,Night,55,Low,Holiday,2AC,4,Tatkal,54,1
Sat,Night,10,High,Normal,2AC,5,Normal,73,1
Sun,Morning,34,Medium,Normal,2AC,1,Tatkal,57,0
Wed,Morning,10,Low,Normal,2AC,3,Normal,29,0
Sat,Evening,32,Low,Holiday,3AC,3,Normal,78,0
Fri,Morning,65,Low,Holiday,1AC,4,Normal,34,1
Sun,Morning,119,Low,Normal,Sleeper,4,Tatkal,24,1
Fri,Night,0,Medium,Normal,1AC,4,Tatkal,90,1
Sun,Evening,32,High,Normal,3AC,1,Normal,76,0
Mon,Evening,76,Low,Holiday,1AC,2,Normal,96,1
Mon,Night,26,High,Holiday,2AC,4,Tatkal,36,0
Mon,Night,64,High,Festival,Sleeper,1,Tatkal,38,0
Sat,Afternoon,105,High,Holiday,Sleeper,3,Tatkal,5,0
Fri,Evening,92,Low,Holiday,Sleeper,1,Tatkal,88,0
Fri,Morning,44,Medium,Normal,2AC,5,Tatkal,47,1
Fri,Evening,103,Low,Holiday,Sleeper,1,Normal,52,0
Wed,Afternoon,85,High,Holiday,1AC,4,Tatkal,2,1
Fri,Morning,102,High,Festival,2AC,5,Tatkal,8,0
Wed,Afternoon,83,High,Holiday,1AC,4,Tatkal,80,0
Mon,Night,43,High,Holiday,Sleeper,3,Tatkal,65,0
Mon,Afternoon,39,Medium,Normal,2AC,2,Tatkal,29,1
Sat,Night,44,Low,Normal,1AC,1,Normal,64,0
Sun,Afternoon,1,High,Festival,Sleeper,2,Normal,70,0
Mon,Night,40,Medium,Normal,2AC,3,Normal,73,0
Sun,Evening,51,Medium,Holiday,3AC,4,Tatkal,97,0
Sun,Night,16,Low,Holiday,2AC,5,Tatkal,3,1
Sat,Evening,49,High,Festival,1AC,1,Tatkal,56,0
Tue,Night,119,Medium,Festival,Sleeper,2,Normal,45,1
Tue,Afternoon,111,Low,Normal,3AC,2,Normal,59,0
Thu,Afternoon,40,Low,Holiday,2AC,5,Tatkal,33,1
Sat,Afternoon,4,Medium,Normal,3AC,5,Normal,73,1
Thu,Night,51,Medium,Normal,Sleeper,4,Normal,40,1
Thu,Night,47,High,Festival,3AC,3,Tatkal,92,0
Tue,Afternoon,89,Low,Holiday,2AC,5,Tatkal,43,1
Sat,Evening,12,Low,Holiday,1AC,1,Tatkal,13,0
Tue,Night,54,High,Normal,2AC,1,Normal,87,1
Thu,Evening,33,High,Holiday,Sleeper,4,Tatkal,20,0
Sat,Night,54,Low,Festival,3AC,1,Tatkal,7,1
Thu,Afternoon,93,Low,Normal,Sleeper,5,Normal,86,0
Fri,Evening,43,High,Festival,2AC,2,Normal,34,0
Sun,Morning,40,Medium,Holiday,2AC,2,Normal,2,1
Sat,Night,1,Low,Holiday,Sleeper,5,Normal,34,1
Sat,Evening,75,Medium,Festival,3AC,3,Tatkal,79,0
Sun,Afternoon,55,Low,Normal,1AC,1,Tatkal,25,1
Thu,Evening,85,Low,Holiday,2AC,2,Normal,85,1
Fri,Morning,101,Medium,Holiday,1AC,2,Normal,78,1
Wed,Morning,12,High,Normal,2AC,4,Tatkal,57,0
Sun,Evening,47,High,Festival,1AC,4,Normal,9,1
Tue,Morning,115,Low,Normal,Sleeper,3,Tatkal,66,0
Thu,Night,88,Medium,Festival,1AC,4,Tatkal,57,1
Sun,Morning,39,Medium,Holiday,2AC,4,Normal,17,1
Sun,Evening,102,Medium,Normal,3AC,1,Normal,34,0
Sat,Evening,59,Low,Holiday,2AC,3,Tatkal,71,0
Tue,Night,110,Low,Festival,Sleeper,3,Normal,64,1
Tue,Night,36,Medium,Normal,2AC,1,Normal,15,0
Tue,Evening,20,Medium,Normal,2AC,5,Tatkal,56,1
Sun,Afternoon,17,Medium,Normal,2AC,3,Normal,42,0
Wed,Night,116,Medium,Holiday,2AC,2,Normal,9,1
Mon,Afternoon,82,Low,Normal,1AC,3,Normal,75,1
Thu,Morning,76,High,Festival,3AC,2,Normal,92,0
Mon,Morning,54,High,Holiday,1AC,3,Normal,87,1
Sun,Night,88,High,Festival,1AC,1,Tatkal,16,1
Mon,Night,79,High,Normal,2AC,1,Tatkal,19,0
Sun,Evening,108,High,Holiday,1AC,4,Normal,20,1
Mon,Morning,62,High,Festival,1AC,4,Tatkal,46,0
Tue,Night,92,Medium,Festival,Sleeper,3,Tatkal,72,1
Fri,Evening,59,Medium,Festival,2AC,5,Normal,71,0
Tue,Afternoon,45,High,Holiday,1AC,1,Tatkal,17,0
Tue,Evening,15,High,Festival,1AC,1,Normal,62,0
Sat,Morning,85,Low,Holiday,Sleeper,1,Tatkal,56,1
Sat,Evening,43,Low,Holiday,2AC,4,Normal,15,1
Mon,Evening,11,Low,Festival,1AC,2,Tatkal,94,1
Sun,Night,106,High,Normal,Sleeper,2,Normal,50,1
Tue,Evening,63,Low,Festival,1AC,2,Normal,48,1
Mon,Morning,89,Low,Normal,1AC,5,Normal,25,1
Sat,Evening,27,High,Normal,1AC,5,Tatkal,34,1
Fri,Evening,54,High,Festival,2AC,2,Tatkal,5,1
Thu,Morning,27,High,Holiday,2AC,5,Normal,71,0
Mon,Afternoon,86,Medium,Festival,2AC,4,Normal,22,1
Fri,Afternoon,102,High,Holiday,3AC,2,Tatkal,46,0
Thu,Morning,93,Low,Normal,2AC,1,Tatkal,85,1
Wed,Afternoon,99,High,Normal,3AC,2,Normal,58,0
Mon,Evening,37,Medium,Normal,2AC,5,Tatkal,81,0
Mon,Night,54,Medium,Holiday,Sleeper,3,Tatkal,96,1
Wed,Morning,13,Low,Holiday,3AC,1,Tatkal,36,0
Wed,Evening,30,Medium,Holiday,2AC,1,Tatkal,39,0
Mon,Night,62,Low,Normal,1AC,4,Tatkal,27,1
Wed,Evening,45,Medium,Festival,1AC,1,Tatkal,24,1
Tue,Morning,75,Medium,Festival,1AC,4,Normal,7,1
Thu,Evening,110,High,Normal,1AC,5,Tatkal,37,0
Thu,Morning,74,Medium,Normal,1AC,4,Tatkal,78,1
Thu,Evening,3,Medium,Holiday,Sleeper,1,Normal,93,0
Tue,Night,88,High,Festival,3AC,3,Normal,89,0
Sun,Night,106,High,Festival,Sleeper,4,Normal,87,0
Wed,Night,88,Medium,Holiday,2AC,3,Tatkal,80,1
Fri,Afternoon,107,High,Normal,3AC,5,Normal,44,1
Wed,Evening,19,Medium,Normal,1AC,3,Normal,56,1
Mon,Evening,71,Medium,Festival,2AC,4,Tatkal,70,0
Sat,Night,23,Medium,Normal,2AC,3,Tatkal,3,1
Thu,Morning,81,High,Holiday,1AC,5,Tatkal,89,0
Wed,Afternoon,37,High,Holiday,2AC,2,Normal,4,0
Fri,Evening,72,Medium,Festival,Sleeper,1,Normal,49,1
Mon,Evening,23,High,Festival,2AC,5,Tatkal,98,0
Tue,Afternoon,112,Low,Holiday,3AC,5,Normal,9,1
Sun,Afternoon,68,High,Normal,1AC,5,Normal,36,1
Tue,Night,47,High,Festival,3AC,2,Normal,2,1
Fri,Afternoon,44,High,Normal,Sleeper,1,Normal,63,1
Mon,Night,76,Low,Normal,2AC,5,Tatkal,13,1
Thu,Afternoon,20,Medium,Festival,Sleeper,2,Normal,52,0
Wed,Afternoon,72,Medium,Holiday,3AC,3,Normal,29,0
Mon,Evening,65,Low,Holiday,2AC,2,Tatkal,17,1
Sun,Night,52,High,Normal,1AC,3,Tatkal,28,0
Tue,Afternoon,111,High,Festival,Sleeper,1,Normal,8,1
Sun,Afternoon,64,High,Normal,3AC,3,Normal,82,0
Sun,Evening,7,Low,Festival,Sleeper,3,Tatkal,12,0
Fri,Morning,87,High,Festival,1AC,2,Tatkal,25,1
Fri,Evening,33,Low,Holiday,1AC,5,Tatkal,21,0
Wed,Night,9,High,Normal,Sleeper,1,Tatkal,6,0
Fri,Morning,108,Medium,Holiday,2AC,2,Normal,4,1
Fri,Afternoon,0,High,Festival,3AC,4,Tatkal,69,1
Mon,Night,34,Low,Normal,3AC,3,Tatkal,23,0
Thu,Morning,104,Medium,Festival,Sleeper,1,Tatkal,43,1
Wed,Night,118,Medium,Normal,1AC,1,Normal,2,1
Mon,Evening,54,Medium,Festival,Sleeper,3,Normal,88,0
Thu,Morning,25,Low,Normal,Sleeper,5,Normal,100,1
Sun,Morning,67,High,Festival,3AC,5,Tatkal,15,0
Mon,Morning,94,High,Normal,3AC,3,Tatkal,79,0
Sat,Afternoon,4,Low,Holiday,1AC,3,Tatkal,31,1
Mon,Evening,86,High,Normal,3AC,1,Normal,74,0
Fri,Morning,97,Low,Festival,3AC,5,Tatkal,95,0
Thu,Night,78,High,Normal,3AC,3,Tatkal,44,0
Wed,Afternoon,66,Medium,Normal,Sleeper,3,Tatkal,78,1
Wed,Evening,18,Medium,Normal,2AC,5,Normal,74,0
Thu,Evening,42,Low,Festival,Sleeper,2,Normal,2,0
Fri,Evening,38,Low,Normal,3AC,2,Tatkal,94,0
Tue,Evening,102,Low,Normal,3AC,1,Normal,23,1
Mon,Afternoon,26,Medium,Festival,3AC,2,Normal,46,0
Fri,Evening,21,High,Festival,3AC,4,Normal,41,0
Sat,Night,48,Low,Normal,1AC,1,Normal,61,1
Sun,Night,57,Low,Normal,3AC,3,Normal,77,1
Thu,Night,58,Medium,Festival,2AC,2,Normal,26,1
Mon,Morning,78,Medium,Festival,Sleeper,5,Tatkal,44,0
Wed,Evening,39,Low,Holiday,3AC,3,Normal,26,0
Sun,Night,105,Medium,Festival,2AC,1,Tatkal,41,0
Tue,Evening,14,Medium,Holiday,1AC,5,Normal,46,0
Sat,Afternoon,31,High,Normal,2AC,2,Tatkal,85,1
Wed,Night,57,High,Festival,3AC,1,Normal,85,0
Thu,Morning,94,Low,Festival,2AC,4,Normal,35,1
Mon,Morning,115,Medium,Holiday,1AC,2,Normal,36,1
Thu,Afternoon,55,High,Holiday,1AC,5,Tatkal,25,0
Sun,Night,102,High,Holiday,3AC,2,Normal,23,0
Mon,Afternoon,80,Low,Holiday,1AC,2,Normal,76,1
Fri,Morning,118,Medium,Festival,1AC,2,Tatkal,99,0
Tue,Morning,51,Medium,Festival,3AC,4,Normal,3,1
Fri,Evening,116,Low,Holiday,1AC,3,Normal,2,1
Fri,Afternoon,76,Low,Holiday,1AC,3,Tatkal,55,1
Thu,Morning,101,High,Normal,2AC,2,Normal,15,1
Sun,Night,100,High,Normal,3AC,1,Normal,17,1
Tue,Night,79,Low,Holiday,1AC,1,Tatkal,27,0
Mon,Morning,27,Low,Festival,2AC,4,Tatkal,73,0
Mon,Afternoon,97,Low,Festival,1AC,4,Tatkal,29,1
Sat,Afternoon,95,Medium,Holiday,1AC,1,Normal,33,1
Wed,Night,119,Medium,Festival,3AC,1,Normal,31,0
Sat,Morning,23,High,Festival,Sleeper,1,Normal,99,1
Sat,Night,36,High,Holiday,3AC,3,Normal,47,1
Mon,Afternoon,61,Low,Normal,3AC,5,Tatkal,16,0
Thu,Morning,4,Low,Normal,1AC,4,Normal,62,0
Fri,Night,43,Low,Normal,2AC,1,Tatkal,98,1
Sun,Morning,86,High,Festival,Sleeper,4,Normal,75,1
Fri,Evening,49,High,Holiday,3AC,2,Tatkal,13,1
Fri,Night,84,High,Normal,3AC,4,Normal,15,1
Tue,Night,0,Low,Normal,1AC,5,Normal,84,1
Mon,Evening,63,High,Holiday,1AC,4,Normal,65,0
Sun,Afternoon,76,High,Festival,3AC,1,Normal,81,1
Thu,Night,115,Medium,Holiday,3AC,4,Normal,30,1
Tue,Night,107,Medium,Normal,Sleeper,2,Tatkal,19,1
Wed,Afternoon,71,Low,Holiday,1AC,5,Normal,79,1
Thu,Morning,0,Medium,Normal,2AC,1,Normal,59,0
Sat,Evening,14,High,Normal,1AC,1,Tatkal,8,1
Thu,Afternoon,73,High,Holiday,2AC,1,Tatkal,53,1
Thu,Morning,0,Medium,Normal,1AC,4,Tatkal,44,0
Fri,Evening,77,Medium,Festival,1AC,1,Normal,74,0
Thu,Morning,108,Medium,Normal,2AC,5,Normal,63,1
Sat,Night,51,High,Festival,3AC,2,Tatkal,67,0
Sat,Evening,105,High,Holiday,2AC,4,Tatkal,10,1
Mon,Morning,100,Low,Normal,Sleeper,4,Normal,93,0
Thu,Evening,40,Medium,Normal,3AC,4,Tatkal,35,0
Fri,Morning,62,Low,Holiday,1AC,3,Tatkal,18,1
Thu,Morning,45,Low,Normal,2AC,5,Normal,7,1
Wed,Night,20,High,Festival,Sleeper,1,Normal,32,0
Wed,Afternoon,64,Medium,Normal,2AC,4,Tatkal,92,0
Fri,Evening,110,Low,Normal,2AC,3,Normal,77,1
Mon,Night,90,Low,Holiday,2AC,4,Normal,25,1
Mon,Evening,114,Medium,Holiday,1AC,5,Tatkal,17,1
Sat,Afternoon,51,Low,Holiday,1AC,2,Tatkal,50,1
Sat,Night,30,High,Normal,Sleeper,2,Tatkal,70,0
Tue,Afternoon,70,Medium,Holiday,1AC,5,Tatkal,11,0
Fri,Night,81,Medium,Normal,Sleeper,2,Tatkal,44,0
Thu,Night,35,Medium,Festival,2AC,2,Normal,45,1
Sun,Night,23,Medium,Normal,2AC,1,Tatkal,71,0
Fri,Night,116,Low,Festival,2AC,3,Normal,90,0
Tue,Morning,37,High,Holiday,Sleeper,3,Normal,100,0
Sat,Evening,98,Low,Festival,2AC,1,Normal,85,0
Fri,Morning,67,High,Normal,Sleeper,4,Normal,23,0
Fri,Morning,120,High,Festival,2AC,4,Normal,27,1
Sat,Morning,1,Medium,Normal,2AC,1,Tatkal,72,1
Tue,Night,98,High,Holiday,3AC,5,Normal,74,1
Sat,Night,81,Medium,Holiday,2AC,5,Normal,84,1
Mon,Afternoon,65,Low,Holiday,2AC,5,Normal,100,1
Thu,Evening,90,Medium,Holiday,1AC,5,Normal,79,1
Sat,Afternoon,56,High,Normal,1AC,4,Tatkal,59,1
Tue,Afternoon,62,High,Festival,1AC,1,Normal,95,0
Wed,Evening,103,Medium,Normal,2AC,2,Normal,70,0
Mon,Evening,70,Low,Festival,2AC,1,Normal,86,1
Wed,Afternoon,40,Low,Festival,2AC,4,Tatkal,37,0
Sun,Afternoon,94,Medium,Festival,2AC,1,Normal,46,0
Sat,Afternoon,119,Low,Normal,2AC,2,Tatkal,82,0
Mon,Night,104,Low,Festival,3AC,2,Normal,10,0
Thu,Evening,97,Low,Holiday,1AC,4,Normal,58,1
Sat,Evening,6,Medium,Festival,1AC,1,Tatkal,99,1
Thu,Morning,56,Medium,Normal,3AC,3,Tatkal,4,1
Fri,Night,44,High,Holiday,2AC,5,Normal,91,0
Wed,Night,92,High,Normal,2AC,1,Normal,31,0
Mon,Evening,120,High,Festival,2AC,5,Tatkal,71,0
Thu,Night,7,Medium,Normal,3AC,5,Normal,23,0
Tue,Afternoon,96,Medium,Festival,Sleeper,1,Tatkal,89,0
Thu,Evening,2,Medium,Normal,3AC,5,Tatkal,70,1
Tue,Evening,103,Medium,Holiday,1AC,3,Normal,27,1
Sat,Night,31,Medium,Festival,Sleeper,5,Normal,86,1
Mon,Evening,82,Low,Normal,3AC,5,Normal,70,0
Thu,Night,67,High,Holiday,2AC,3,Normal,48,1
Sun,Night,9,Medium,Holiday,2AC,3,Normal,45,0
Thu,Night,17,High,Normal,2AC,2,Normal,47,0
Sun,Afternoon,82,Medium,Holiday,Sleeper,2,Normal,30,0
Mon,Night,52,High,Holiday,3AC,2,Normal,3,1
Thu,Night,75,Medium,Festival,3AC,2,Normal,27,1
Tue,Morning,10,Medium,Festival,2AC,2,Tatkal,83,1
Thu,Morning,31,High,Festival,3AC,5,Tatkal,97,0
Wed,Afternoon,5,Low,Holiday,3AC,5,Tatkal,76,1
Sat,Afternoon,37,Medium,Holiday,1AC,5,Normal,5,1
Fri,Night,54,Low,Festival,2AC,3,Normal,70,0
Tue,Morning,27,Low,Holiday,1AC,2,Normal,78,1
Wed,Afternoon,25,High,Normal,Sleeper,4,Normal,45,0
Sun,Evening,71,Medium,Holiday,3AC,1,Tatkal,22,1
Sat,Evening,117,High,Holiday,2AC,5,Tatkal,38,1
Mon,Night,73,Medium,Normal,1AC,5,Normal,21,1
Tue,Morning,85,Low,Holiday,Sleeper,3,Normal,25,1
Fri,Evening,97,Low,Normal,2AC,4,Normal,26,1
Sat,Morning,108,Low,Festival,1AC,5,Tatkal,12,0
Sun,Afternoon,114,Medium,Holiday,3AC,1,Normal,79,1
Fri,Morning,85,Medium,Holiday,1AC,1,Normal,77,0
Mon,Night,21,Low,Festival,1AC,4,Normal,100,0
Mon,Morning,5,Low,Normal,2AC,2,Tatkal,8,1
Sun,Evening,94,Low,Normal,3AC,5,Tatkal,47,0
Tue,Morning,35,Low,Normal,2AC,2,Tatkal,54,1
Sun,Morning,10,Medium,Normal,Sleeper,2,Normal,38,1
Thu,Morning,81,Medium,Normal,Sleeper,3,Normal,40,0
Mon,Afternoon,119,Medium,Holiday,2AC,1,Normal,97,0
Sat,Night,33,High,Holiday,1AC,3,Normal,62,0
Thu,Evening,2,Low,Holiday,Sleeper,2,Normal,76,1
Wed,Evening,112,High,Festival,2AC,3,Normal,10,0
Fri,Morning,104,Low,Holiday,1AC,5,Tatkal,68,1
Thu,Morning,114,High,Festival,Sleeper,4,Normal,43,0
Fri,Afternoon,49,Medium,Holiday,Sleeper,3,Normal,24,0
Sun,Night,101,Low,Normal,1AC,5,Normal,94,1
Thu,Evening,119,Low,Festival,3AC,5,Normal,63,0
Sun,Night,35,Low,Holiday,3AC,5,Tatkal,88,1
Wed,Evening,80,Medium,Normal,2AC,5,Tatkal,28,0
Mon,Morning,93,Medium,Festival,3AC,4,Tatkal,76,0
Wed,Afternoon,54,Low,Holiday,2AC,5,Tatkal,83,1
Mon,Afternoon,29,High,Normal,Sleeper,3,Tatkal,93,0
Sun,Morning,61,Medium,Holiday,1AC,2,Tatkal,56,1
Mon,Morning,114,High,Normal,3AC,3,Tatkal,67,0
Fri,Morning,52,High,Holiday,3AC,5,Tatkal,77,1
Sat,Night,106,Medium,Normal,Sleeper,4,Tatkal,31,0
Wed,Morning,49,Medium,Holiday,1AC,3,Normal,94,1
Thu,Night,94,Medium,Normal,3AC,1,Tatkal,68,1
Wed,Morning,31,Medium,Normal,2AC,1,Normal,36,1
Fri,Afternoon,119,High,Holiday,Sleeper,3,Normal,90,0
Mon,Night,111,Low,Festival,2AC,4,Normal,59,0
Fri,Afternoon,82,Low,Festival,3AC,4,Tatkal,54,1
Tue,Morning,8,Low,Festival,3AC,3,Tatkal,4,0
Tue,Morning,112,High,Normal,Sleeper,5,Tatkal,66,0
Thu,Evening,15,Medium,Holiday,Sleeper,2,Normal,32,0
Fri,Night,37,High,Holiday,2AC,3,Normal,79,1
Sun,Night,18,Low,Festival,Sleeper,4,Tatkal,45,0
Thu,Night,93,Low,Festival,Sleeper,5,Normal,95,0
Sun,Night,35,Medium,Normal,2AC,3,Tatkal,46,0
Thu,Afternoon,10,High,Normal,2AC,3,Normal,42,1
Tue,Night,115,Low,Festival,1AC,3,Normal,21,0
Thu,Afternoon,78,Medium,Holiday,1AC,5,Normal,81,1
Tue,Morning,87,Low,Festival,1AC,3,Normal,49,0
Mon,Afternoon,104,Medium,Festival,1AC,5,Normal,84,1
Sun,Night,62,High,Normal,Sleeper,4,Tatkal,48,0
Fri,Afternoon,84,Medium,Festival,Sleeper,3,Tatkal,39,0
Thu,Night,42,Low,Holiday,3AC,5,Tatkal,74,1
Tue,Afternoon,73,Low,Normal,2AC,3,Normal,16,0
Wed,Evening,105,Medium,Festival,Sleeper,3,Tatkal,100,0
Sun,Night,114,Low,Festival,1AC,3,Normal,28,1
Thu,Afternoon,88,Low,Normal,1AC,3,Normal,59,1
Sat,Night,95,Low,Festival,1AC,3,Tatkal,61,1
Mon,Morning,32,Low,Festival,3AC,4,Tatkal,60,0
Mon,Afternoon,48,Medium,Festival,3AC,4,Normal,49,0
Wed,Afternoon,50,Medium,Normal,2AC,4,Normal,68,1
Tue,Evening,49,High,Normal,3AC,4,Tatkal,40,1
Thu,Night,23,Low,Normal,3AC,3,Normal,89,1
Sun,Afternoon,20,High,Normal,1AC,3,Tatkal,95,0
Tue,Evening,25,Medium,Normal,Sleeper,5,Normal,68,0
Mon,Evening,80,Low,Festival,Sleeper,3,Tatkal,16,0
Tue,Evening,18,Low,Normal,2AC,3,Normal,34,0
Mon,Night,66,Medium,Holiday,1AC,1,Tatkal,25,1
Tue,Night,76,Medium,Holiday,1AC,4,Tatkal,54,0
Wed,Afternoon,65,Medium,Festival,3AC,2,Normal,40,1
Fri,Night,40,High,Holiday,3AC,3,Tatkal,34,0
Wed,Night,63,Medium,Normal,3AC,5,Tatkal,39,1
Wed,Morning,108,High,Festival,Sleeper,4,Tatkal,12,0
Fri,Night,95,Medium,Normal,2AC,5,Normal,94,1
Fri,Morning,32,High,Holiday,Sleeper,3,Normal,80,0
Thu,Afternoon,31,Low,Festival,1AC,2,Tatkal,77,1
Sun,Evening,105,Medium,Festival,3AC,4,Normal,95,0
Sun,Morning,116,High,Normal,2AC,5,Tatkal,88,1
Thu,Afternoon,24,Low,Holiday,1AC,2,Normal,1,1
Wed,Morning,59,Medium,Festival,2AC,2,Normal,6,1
Wed,Night,2,High,Holiday,1AC,5,Tatkal,57,1
Mon,Afternoon,105,Medium,Normal,1AC,3,Normal,60,1
Mon,Evening,50,Low,Holiday,1AC,1,Normal,79,1
Sun,Morning,6,Low,Normal,2AC,5,Tatkal,50,0
Thu,Night,112,Medium,Festival,Sleeper,2,Normal,86,1
Sat,Afternoon,60,High,Holiday,Sleeper,5,Tatkal,5,1
Sat,Night,24,High,Festival,Sleeper,5,Normal,97,1
Thu,Afternoon,86,Medium,Normal,Sleeper,1,Normal,91,0
Mon,Morning,91,High,Holiday,3AC,2,Normal,71,1
Sun,Afternoon,75,High,Holiday,3AC,4,Normal,48,0
Sun,Morning,7,Low,Festival,2AC,5,Normal,78,0
Mon,Afternoon,113,High,Normal,2AC,5,Tatkal,38,0
Sat,Night,98,Medium,Festival,2AC,3,Tatkal,65,1
Tue,Night,24,Low,Festival,1AC,5,Tatkal,35,0
Tue,Morning,93,Medium,Festival,Sleeper,1,Tatkal,65,0
Mon,Evening,62,Low,Holiday,3AC,1,Tatkal,64,1
Tue,Morning,31,High,Festival,2AC,1,Normal,98,0
Fri,Night,99,Medium,Normal,3AC,1,Tatkal,22,1
Thu,Afternoon,31,Medium,Festival,Sleeper,2,Normal,14,0
Thu,Evening,52,High,Festival,Sleeper,5,Normal,96,0
Mon,Night,24,Low,Normal,Sleeper,1,Tatkal,30,0
Wed,Evening,25,Medium,Holiday,Sleeper,4,Normal,86,1
Sat,Morning,7,Medium,Holiday,2AC,2,Tatkal,22,1
Mon,Night,68,High,Holiday,1AC,1,Tatkal,71,1
Tue,Morning,106,Medium,Normal,2AC,2,Normal,75,1
Sat,Night,1,Low,Normal,1AC,5,Tatkal,38,1
Wed,Night,18,Low,Festival,3AC,2,Tatkal,41,0
Tue,Morning,66,Medium,Festival,1AC,1,Tatkal,74,0
Sun,Night,75,High,Normal,3AC,1,Normal,45,0
